Date,HY_Percent_Return,Agg
09/30/2019,0.317,-0.5325
08/30/2019,0.39,2.5913
07/31/2019,0.512,0.2201
06/28/2019,2.452,1.2556
05/31/2019,-1.271,1.7752
04/30/2019,1.399,0.0256
03/29/2019,0.98,1.92
02/28/2019,1.688,-0.058
01/31/2019,4.593,1.0622
12/31/2018,-2.192,1.8371
11/30/2018,-0.907,0.5967
10/31/2018,-1.638,-0.7901
09/28/2018,0.581,-0.6439
08/31/2018,0.724,0.6434
07/31/2018,1.117,0.0238
06/29/2018,0.345,-0.123
05/31/2018,-0.015,0.7137
04/30/2018,0.665,-0.7437
03/30/2018,-0.617,0.6413
02/28/2018,-0.932,-0.9479
01/31/2018,0.641,-1.1517
12/29/2017,0.291,0.459
11/30/2017,-0.268,-0.1284
10/31/2017,0.386,0.0579
09/29/2017,0.898,-0.4763
08/31/2017,-0.026,0.897
07/31/2017,1.153,0.4303
06/30/2017,0.106,-0.1007
05/31/2017,0.893,0.7697
04/28/2017,1.133,0.7717
03/31/2017,-0.21,-0.0524
02/28/2017,1.56,0.6721
01/31/2017,1.343,0.1962
12/30/2016,1.967,0.141
11/30/2016,-0.394,-2.3654
10/31/2016,0.312,-0.7649
09/30/2016,0.647,-0.0586
08/31/2016,2.227,-0.1144
07/29/2016,2.526,0.6322
06/30/2016,1.084,1.7968
05/31/2016,0.722,0.0257
04/29/2016,3.996,0.3838
03/31/2016,4.42,0.9175
02/29/2016,0.465,0.7094
01/29/2016,-1.582,1.3761
12/31/2015,-2.579,-0.3232
11/30/2015,-2.245,-0.2642
10/30/2015,2.726,0.0166
09/30/2015,-2.594,0.6764
08/31/2015,-1.761,-0.1436
07/31/2015,-0.616,0.6951
06/30/2015,-1.525,-1.0904
05/29/2015,0.296,-0.2408
04/30/2015,1.199,-0.3588
03/31/2015,-0.531,0.4644
02/27/2015,2.386,-0.9402
01/30/2015,0.69,2.0969
