Date ,S&P 500 Return
02/28/15,5.75
03/31/15,-1.58
04/30/15,0.96
05/31/15,1.29
06/30/15,-1.94
07/31/15,2.09
08/31/15,-6.03
09/30/15,-2.47
10/31/15,8.43
11/30/15,0.30
12/31/15,-1.58
01/31/16,-4.96
02/29/16,-0.13
03/31/16,6.78
04/30/16,0.39
05/31/16,1.80
06/30/16,0.26
07/31/16,3.69
08/31/16,0.14
09/30/16,0.02
10/31/16,-1.82
11/30/16,3.70
12/31/16,1.98
01/31/17,1.90
02/28/17,3.97
03/31/17,0.12
04/30/17,1.03
05/31/17,1.41
06/30/17,0.62
07/31/17,2.06
08/31/17,0.31
09/30/17,2.06
10/31/17,2.33
11/30/17,3.07
12/31/17,1.11
01/31/18,5.73
02/28/18,-3.69
03/31/18,-2.54
04/30/18,0.38
05/31/18,2.41
06/30/18,0.62
07/31/18,3.72
08/31/18,3.26
09/30/18,0.57
10/31/18,-6.83
11/30/18,2.04
12/31/18,-9.03
01/31/19,8.01
02/28/19,3.21
03/31/19,1.94
04/30/19,4.05
05/31/19,-6.35
06/30/19,7.05
07/31/19,1.44
08/31/19,-1.58
09/30/19,1.87
